job_title,skills,salary_lpa,automation_risk,category
DotNet Developer,C# .NET ASP.NET MVC SQL,9,10,IT
Angular Developer,Angular TypeScript JavaScript HTML CSS,9,11,IT
Vue.js Developer,Vue JavaScript HTML CSS Vuex,8,13,IT
React Developer,React JavaScript Redux TypeScript,10,9,IT
Node.js Developer,NodeJS Express MongoDB JavaScript,10,8,IT
MERN Stack Developer,MongoDB Express React NodeJS,11,7,IT
MEAN Stack Developer,MongoDB Express Angular NodeJS,11,8,IT
Django Developer,Python Django REST PostgreSQL,9,9,IT
Flask Developer,Python Flask API SQL,8,10,IT
Spring Boot Developer,Java SpringBoot Microservices SQL,11,7,IT
Golang Developer,Go Golang Microservices Docker,14,6,IT
Rust Developer,Rust SystemsProgramming,16,5,IT
Ruby on Rails Developer,Ruby Rails PostgreSQL,10,12,IT
Flutter Developer,Flutter Dart Firebase Mobile,9,11,IT
Kotlin Developer,Kotlin Android Mobile,10,10,IT
Swift Developer,Swift iOS Mobile Xcode,12,9,IT
SEO Specialist,SEO GoogleAnalytics SEM KeywordResearch,5,25,IT
Digital Marketing Manager,Marketing DigitalMarketing Analytics Strategy,10,14,IT
Social Media Manager,SocialMedia ContentCreation Marketing,5.5,20,IT
Content Strategist,ContentStrategy SEO Writing Analytics,6,22,IT
Growth Hacker,GrowthHacking Analytics Marketing Experiments,12,18,IT
Performance Marketing Manager,GoogleAds FacebookAds PPC Analytics,9,20,IT
Email Marketing Specialist,EmailMarketing Automation Campaigns,5,30,IT
CRM Specialist,Salesforce HubSpot CRM MarketingAutomation,7,28,IT
Technical Support Engineer,Troubleshooting Linux Networking CustomerService,5,45,IT
IT Business Analyst,BusinessAnalysis SQL Requirements UML,8,30,IT
Data Architect,DataModeling DataWarehousing SQL Architecture,18,6,IT
Database Developer,SQL PL/SQL T-SQL StoredProcedures,8,12,IT
BI Analyst,PowerBI Tableau SQL Excel,7,24,IT
MIS Executive,Excel VBA SQL Reporting Macros,4,45,IT-Business
Tally Operator,Tally GST Accounting Excel,3,72,Non-IT
Accountant,Tally Excel GST Accounting Auditing,4,72,Non-IT
Chartered Accountant,CA Accounting Auditing Taxation,12,94,Non-IT
Financial Analyst,Finance Excel FinancialModeling Valuation,8,23,Finance
Investment Banker,Finance InvestmentBanking Valuation,25,30,Finance
HR Executive,Recruitment HRMS Payroll Communication,4,55,Non-IT
HR Manager,HR Strategy Recruitment LaborLaw,8,55,Non-IT
Operations Manager,Operations Management SupplyChain,9,15,Management
Project Manager,ProjectManagement PMP Agile Scrum,14,18,Management
Sales Manager,Sales Management CRM Leadership,12,35,Sales
Marketing Manager,Marketing Strategy Branding,10,14,Marketing
Content Writer,Writing SEO Blogging Communication,3.5,28,Non-IT
Graphic Designer,Photoshop Illustrator Canva Design,4.5,8,Design
Video Editor,PremierePro AfterEffects VideoEditing,5,12,Design
Digital Artist,Photoshop Illustrator DigitalArt,4,15,Design
Photographer,Photography Lightroom Camera,4,2,Non-IT
Customer Service Executive,Communication CRM CustomerService,3.5,75,Non-IT
BPO Executive,Communication Typing CustomerService,3,85,Non-IT
Telecaller,Communication Sales Telecalling,2.8,99,Non-IT
Receptionist,Communication MSOffice FrontDesk,3,96,Non-IT
Office Assistant,MSOffice Administration Documentation,3.2,90,Non-IT
Data Entry Operator,Excel Typing DataEntry,3,94,Non-IT
